n,u,refsize,status
3,2,-1,unrealizable
2,6,-1,unrealizable
4,12,-1,unrealizable
2,7,-1,unrealizable
3,3,-1,unrealizable
4,1,-1,unrealizable
2,16,-1,unrealizable
2,11,-1,unrealizable
4,6,-1,unrealizable
3,4,-1,unrealizable
3,10,-1,unrealizable
3,8,-1,unrealizable
3,9,-1,unrealizable
3,11,-1,unrealizable
2,1,-1,unrealizable
3,5,-1,unrealizable
4,7,-1,unrealizable
2,10,-1,unrealizable
6,1,0,unknown
6,2,0,unknown
6,3,0,unknown
6,4,0,unknown
6,5,0,unknown
5,2,0,unknown
5,3,0,unknown
5,4,0,unknown
5,5,0,unknown
5,6,0,unknown
5,7,0,unknown
3,12,-1,unrealizable
2,2,-1,unrealizable
3,6,-1,unrealizable
4,4,-1,unrealizable
4,8,-1,unrealizable
4,9,-1,unrealizable
2,12,-1,unrealizable
4,5,-1,unrealizable
3,7,-1,unrealizable
2,3,-1,unrealizable
2,8,-1,unrealizable
4,10,-1,unrealizable
2,4,-1,unrealizable
4,2,-1,unrealizable
4,3,-1,unrealizable
2,14,-1,unrealizable
2,13,-1,unrealizable
2,15,-1,unrealizable
3,1,-1,unrealizable
2,5,-1,unrealizable
4,11,-1,unrealizable
2,9,-1,unrealizable
