n,u,refsize,status
3,2,-1,unrealizable
2,6,-1,unrealizable
3,15,-1,unrealizable
4,11,0,unknown
2,14,-1,unrealizable
2,15,-1,unrealizable
4,10,0,unknown
3,14,-1,unrealizable
4,1,-1,unrealizable
2,7,-1,unrealizable
3,3,-1,unrealizable
3,8,-1,unrealizable
3,13,-1,unrealizable
2,12,-1,unrealizable
3,4,-1,unrealizable
4,6,-1,unrealizable
4,7,-1,unrealizable
2,1,-1,unrealizable
3,5,-1,unrealizable
2,13,-1,unrealizable
4,16,0,unknown
3,9,-1,unrealizable
3,12,-1,unrealizable
4,8,0,unknown
2,10,-1,unrealizable
4,15,0,unknown
3,11,-1,unrealizable
4,4,-1,unrealizable
2,2,-1,unrealizable
3,6,-1,unrealizable
3,7,-1,unrealizable
2,3,-1,unrealizable
4,5,-1,unrealizable
3,10,-1,unrealizable
4,14,0,unknown
2,11,-1,unrealizable
4,9,0,unknown
4,2,-1,unrealizable
2,4,-1,unrealizable
2,16,-1,unrealizable
2,8,-1,unrealizable
4,13,0,unknown
3,16,-1,unrealizable
4,12,0,unknown
2,9,-1,unrealizable
3,1,-1,unrealizable
2,5,-1,unrealizable
4,3,-1,unrealizable
3,20,-1,unrealizable
3,22,-1,unrealizable
3,50,0,unknown
