n,u,refsize,status
2,8,0,unknown
4,2,0,unrealizable
5,6,0,unknown
2,4,0,unknown
3,1,0,unknown
6,2,0,unknown
2,5,0,unknown
5,7,0,unknown
2,12,0,unknown
4,3,0,unrealizable
2,9,0,unknown
4,4,0,unknown
2,2,0,unknown
4,10,0,unknown
3,6,0,unknown
4,8,0,unknown
8,8,0,unknown
4,9,0,unknown
3,7,0,unknown
2,3,0,unknown
5,1,0,unknown
5,10,0,unknown
4,5,0,unknown
3,4,0,unknown
4,12,0,unknown
5,2,0,unknown
4,6,0,unknown
3,8,0,unknown
3,9,0,unknown
4,7,0,unknown
5,3,0,unknown
2,1,0,unknown
3,5,0,unknown
5,8,0,unknown
3,2,0,unknown
2,6,0,unknown
5,4,0,unknown
4,1,0,unrealizable
2,10,0,unknown
5,5,0,unknown
2,7,0,unknown
3,11,0,unknown
3,3,0,unknown
5,9,0,unknown
